Merk,Model,Cilinderinhoud (cc),Bouwjaar,Brandstof,Kilometerstand,Vermogen (kW),Vermogen (pk)
Tesla,Rumplumplum,1200,11/2003,diesel,185547,204,274
Volkswagen,Rumplumplum,3200,08/2006,benzine,76705,369,495
Honda,Civic,3200,05/2011,elektrisch,226295,107,143
BMW,X1,1000,12/2022,lpg,95634,247,331
Porsche,Taycan,2700,10/2007,diesel,195936,199,267
Audi,A8,1100,05/1993,diesel,230226,80,107
Ford,Edge,3100,01/2024,lpg,32052,379,508
Fsrd,Escape,3500,05/1995,elektrisch,151332,208,279
Fiat,Panda,2500,10/1994,benzine,32185,99,133
Peugeot,208,2200,09/2003,lpg,53211,359,481
Volkswagen,ID.4,2100,10/2009,elektrisch,266788,203,272
Mercedes-Benz,Rumplumplum,3200,06/1993,diesel,293571,163,219
Jeep,Cherokee,2900,09/2024,benzine,221825,284,381
Mitsubishi,ASX,1800,10/2004,diesel,136458,361,484
Renault,Kolhrs,2800,10/2003,lpg,57022,366,491
Mazda,CX-30,2500,11/2016,lpg,53938,190,255
Nissan,Titan,1900,03/2011,lpg,45796,341,457
Porsche,Macan,2300,08/1999,benzine,54861,330,443
Subaru,Legacy,1000,08/2010,benzine,19740,332,445
Audi,b3,2000,04/1996,benzine,64150,294,394
Kia,Stinger,3000,02/2018,elektrisch,82840,94,126
Renault,Zoe,3300,01/2008,elektrisch,297008,334,448
Volkswagen,Arteon,3400,12/2020,diesel,242676,127,170
Ferrari,F8 Tributo,4800,10/2022,benzine,81881,61,82
Ferrari,Roma,2000,03/1993,diesel,264069,218,292
Lamborghini,Urus,2400,09/2016,lpg,249981,303,406
Kia,Sportage,3300,09/2005,elektrisch,176186,312,418
Fiat,124 Spider,4800,05/1997,elektrisch,90879,59,79
Mitsubishi,Mirage,2900,10/2013,diesel,161830,61,82
Mazda,RX-8,2500,06/2007,elektrisch,290221,331,444
Mitsubishi,Pajero,1400,11/2010,lpg,73553,62,83
Porsche,Panamera,1000,07/2010,diesel,43481,177,237
Jeep,Wrangler,3000,04/2018,diesel,272187,216,290
Mercedes-Benz,GLE,1400,05/2003,lpg,-1,143,192
Volvo,V60,1300,08/1991,benzine,294808,243,326
Lamborghini,Gallardo,3000,06/2013,diesel,198232,215,288
Chevrolet,Tahoe,2800,10/1996,diesel,205481,240,322
Mitsubishi,Pajero,2700,10/2020,diesel,95888,373,500
Kia,Stinger,2500,10/2005,benzine,225390,200,268
Toyota,Tacoma,2900,02/2012,elektrisch,299637,206,276
Volkswagen,Touareg,2800,07/2013,diesel,36100,109,146
Lamborghini,Urus,1300,05/2006,diesel,277352,347,465
Subaru,Ascent,3400,06/2022,lpg,203709,380,510
Lamborghini,Veneno,2500,06/1946,benzine,93757,172,231
Chevrolet,Suburban,2500,09/1993,elektrisch,155208,68,91
Mercedes-Benz,A-Class,2700,11/1993,lpg,190764,117,157
Hyundai,Kona,1600,03/2014,diesel,2281,168,225
Alfa Romeo,Giulietta,2300,09/1992,benzine,1000010,385,516
Peugeot,308,1900,07/2006,diesel,54943,370,496
Kia,Rio,1300,05/1954,diesel,102730,285,382
Volvo,XC90,1700,07/2014,benzine,95355,194,260
Hyundai,Genesis,1200,09/1972,elektrisch,128713,299,401
Volvo,e60,2800,05/2017,diesel,119518,138,185
Toyota,Highlander,1100,08/2021,lpg,257818,185,248
Toyota,Camry,3300,05/2023,diesel,129070,207,278
Lamborghini,Murcielago,2400,09/2000,benzine,40981,371,498
Ford,F-150,2000,04/2009,diesel,18878,92,123
Porsche,911,1400,07/2018,benzine,219948,301,404
Chevrolet,Silverado,3000,09/2004,lpg,182371,222,298
BMW,Rumplumplum,2900,08/1990,lpg,12298,244,327
Lamborghini,Huracan,2000,12/2003,benzine,209754,239,320
Honda,Accord,3400,08/1995,lpg,185440,288,386
Audi,A3,2100,07/2005,elektrisch,375,181,243
Mitsubishi,Pajero,1800,12/2005,lpg,205685,88,118
Honda,HR-V,2400,02/2016,benzine,207500,328,440
Hyundai,Tucson,3000,02/2007,lpg,285813,67,90
Hyundai,Santa Fe,1000,04/2000,benzine,267805,248,333
Mitsubishi,ASX,1100,03/1990,diesel,23412,325,436
Jeep,Grand Cherokee,2300,01/2023,lpg,42391,223,299
Porsche,911,1300,09/1999,lpg,96469,289,388
Mazda,MX-5 Miata,1700,04/2007,diesel,281029,140,188
Porsche,718 Boxster,2700,01/2009,benzine,4071,300,402
Tesla,Model S,1400,03/1995,lpg,176290,273,366
Honda,Pilot,2900,11/2013,lpg,110699,356,477
Chevrolet,Malibu,2000,06/1995,diesel,246209,82,110
Kia,Carnival,2500,12/2009,lpg,161148,69,93
Nissan,Versa,2500,02/2016,elektrisch,219271,376,504
Toyota,Hilux,1400,07/1997,elektrisch,264949,162,217
Audi,A3,2600,11/1999,benzine,296751,203,272
Volkswagen,qD.h,3300,07/2014,elektrisch,127669,262,351
Ferrari,Portofino,1400,10/2012,benzine,3408,354,475
Toyota,Rumplumplum,1800,05/1995,elektrisch,103482,339,455
Alfa Romeo,Stelvio,1800,01/1999,diesel,99831,242,325
Fiat,Punto,1400,09/2003,elektrisch,168503,75,101
Toyota,RAV4,1600,11/1941,lpg,159230,223,299
Toyota,RAV4,2500,06/2022,lpg,149119,384,515
BMW,7 Series,3500,11/1992,elektrisch,196133,256,343
Audi,Q7,1600,06/2010,benzine,158289,347,465
Hyundai,Khna,2600,06/2001,diesel,106674,340,456
Renault,Koleos,2500,07/2017,diesel,219305,329,441
Tesla,Roadster,3200,03/1991,elektrisch,166555,168,225
Mitsubishi,Outlander,1500,03/1994,benzine,77689,308,413
Hyundai,Ioniq,2700,09/2007,diesel,251800,201,270
Volkswagen,Polo,3400,12/2020,diesel,91809,331,444
Lamborghini,Gallardo,2300,04/2015,diesel,105415,385,516
Ford,Edge,1400,07/1992,elektrisch,184678,352,472
Ferrari,488,1200,11/2010,elektrisch,229044,215,288
Volvo,S90,3100,06/2004,elektrisch,24834,346,464
Ferrari,812 Superfast,3000,12/1999,benzine,105062,361,484
Mazda,RX-8,3300,09/2023,benzine,-1,388,520
Kia,Niro,1500,03/1998,diesel,73594,197,264
Nissan,Altima,3600,09/1994,lpg,72599,128,172
Tesla,Model X,1400,03/2011,diesel,149502,354,475
Alfa Romeo,Spider,2500,10/1940,lpg,107761,262,351
Honda,Odyssey,3300,10/1960,lpg,27209,235,315
Kia,Seltos,2600,03/1994,lpg,96016,74,99
Honda,CR-V,4800,04/2014,lpg,255927,199,267
Alfa Romeo,4C,1500,01/1990,lpg,56606,106,142
Nissan,Sentra,1100,09/2023,benzine,95507,282,378
Volvo,V60,3100,05/1995,diesel,161784,391,524
Fiat,124 Spider,2600,11/2016,diesel,121681,345,463
Mercedes-Benz,Sprinter,3000,03/2017,lpg,14545,40,54
Jeep,Cherokee,1300,05/1998,elektrisch,140878,227,304
Kia,Rio,1500,05/2016,lpg,249345,232,311
Volkswagen,Arteon,3300,07/2004,benzine,271415,365,489
Alfa Romeo,Giulietta,3200,08/2012,elektrisch,287299,181,243
Kia,Stinger,4800,07/1996,elektrisch,63878,107,143
Porsche,Panamera,2700,04/2011,diesel,72393,373,500
Peugeot,5008,1300,09/1991,lpg,153277,357,479
Subaru,Forester,3200,03/1997,elektrisch,39188,110,148
Fiat,Panda,3100,02/2014,diesel,268052,336,451
Peugeot,508,3200,06/2019,benzine,72225,307,412
Jeep,Patriot,2500,12/2016,benzine,40048,197,264
BMW,i3,2000,10/2014,elektrisch,69066,398,534
Tesla,Model S,2400,04/1995,lpg,146950,138,185
Volvo,S60,1200,09/1997,elektrisch,293469,261,350
Ford,Edge,2700,01/2011,diesel,1000010,350,469
Peugeot,5008,2600,01/2014,diesel,119713,86,115
Alfa Romeo,Spider,2600,02/2009,lpg,270003,110,148
Chevrolet,Equinox,2700,04/2014,lpg,93587,398,534
Subaru,Rumplumplum,3300,02/1995,elektrisch,278211,270,362
Mercedes-Benz,GLE,2400,11/1996,lpg,269700,203,272
Tesla,Model Y,3300,09/2004,elektrisch,683,198,266
BMW,i8,3000,08/2022,elektrisch,226995,384,515
Ford,Ranger,3000,11/1990,lpg,125540,288,386
Toyota,Prius,3000,11/2000,lpg,244108,320,429
Jeep,Compass,1600,11/1997,lpg,256820,313,420
Jeep,Cherokee,3200,12/1991,lpg,186090,359,481
Nissan,Pathfinder,2900,09/2023,lpg,234409,323,433
Chevrolet,Tahoe,2100,11/1941,diesel,49831,321,430
Toyota,Hilux,3500,08/2023,benzine,255701,43,58
Hyundai,Ioniq,1600,08/2011,lpg,223087,143,192
Lamborghini,Murcielago,1500,07/1999,lpg,232853,231,310
Lamborghini,Aventador,2800,02/2011,lpg,203725,98,131
Ford,Fusion,1100,02/1998,benzine,275074,67,90
Porsche,Cayenne,3500,05/2021,biodiesel,128930,163,219
BMW,5 Series,2700,06/2019,benzine,144281,332,445
Honda,Insight,1200,03/2015,lpg,29072,265,355
Tesla,Model X,1600,03/2002,diesel,185585,279,374
Mazda,CX-9,2100,08/2003,elektrisch,2125,165,221
Toyota,Corolla,3100,05/2012,lpg,22481,87,117
Volkswagen,Golf,2300,05/1997,elektrisch,95776,43,58
Mitsubishi,Outlander,3000,11/2020,benzine,14117,272,365
Mazda,CX-9,2300,12/2017,lpg,23503,380,510
Jeep,Wrangler,3600,02/1997,elektrisch,224925,286,384
Peugeot,308,3400,09/2016,benzine,268559,86,115
Subaru,WRX,2400,12/1990,lpg,5078,339,455
Mitsubishi,Pajero,1800,07/2009,diesel,1000010,229,307
Audi,Q5,2200,03/2011,elektrisch,200424,393,527
Chevrolet,Silverado,3100,02/2004,lpg,-1,352,472
Kia,Soul,2700,10/2008,benzine,199462,64,86
Subaru,Impreza,2600,09/2018,benzine,15864,371,498
Renault,Clio,2200,08/1967,benzine,14391,161,216
Nissan,Rogue,2400,12/2011,elektrisch,149673,204,274
Peugeot,Rifter,3100,01/2017,biodiesel,115583,120,161
Nissan,Armada,3200,10/2015,lpg,217611,111,149
Renault,Kadjar,2200,03/2013,diesel,134959,177,237
Lamborghini,Huracan,2600,11/2022,lpg,64071,118,158
Renault,Captur,2400,01/2017,diesel,91832,149,200
Volvo,C40,3200,09/1995,lpg,34335,348,467
Honda,Fit,1700,09/1993,benzine,137655,214,287
Volvo,V90,1900,08/2002,diesel,220681,373,500
Jeep,Renegade,1100,09/2023,biodiesel,134521,79,106
Volkswagen,Atlas,2500,07/2012,elektrisch,170340,189,253
Volkswagen,Tiguan,1700,04/2018,benzine,162258,398,534
Tesla,Roadster,3100,08/2004,lpg,84278,56,75
Renault,Megane,1200,02/2005,lpg,117390,235,315
Audi,Q7,1800,04/1994,benzine,-1,59,79
Peugeot,5008,2500,06/1993,lpg,100754,147,197
Toyota,Yaris,1600,01/2002,lpg,90017,340,456
Peugeot,208,1500,08/2001,benzine,1000010,122,164
Volkswagen,Polo,1000,09/2021,diesel,63589,70,94
Porsche,Cayenne,1900,07/1981,lpg,132217,82,110
Subaru,Ascent,2300,01/1990,elektrisch,93138,200,268
Renault,Koleos,1300,04/2004,lpg,296423,260,349
Jeep,Grand Cherokee,1400,06/1996,lpg,261908,249,334
Mercedes-Benz,C-Class,1400,11/2016,diesel,2780,349,468
Ford,Mustang,1200,10/2005,diesel,17052,263,353
Mercedes-Benz,C-Class,2500,01/2013,lpg,290459,398,534
Jeep,Rumplumplum,2200,02/2024,benzine,277707,322,432
Subaru,rdf,2600,08/2009,diesel,31707,69,93
Chevrolet,Colorado,2000,06/1993,elektrisch,228023,290,389
Lamborghini,Gallardo,1700,11/2009,benzine,23732,47,63
Subaru,Forester,2600,12/2010,elektrisch,34673,58,78
Alfa Romeo,Spider,3400,07/2017,lpg,212020,186,249
BMW,i3,1400,09/1993,elektrisch,164375,169,227
Hoida,Odyssey,3100,07/1992,lpg,291477,90,121
Subaru,WRX,1200,02/2008,elektrisch,270333,294,394
Toyota,Highlander,2500,04/1997,diesel,155104,236,316
Ford,Escape,2500,03/2008,benzine,35947,88,118
Fiat,500,3400,03/2006,benzine,234690,301,404
Ford,Maverick,2500,10/2020,elektrisch,67041,88,118
Lamborghini,Urus,3600,09/1997,lpg,174444,135,181
Jeep,Grand Cherokee,4800,04/2001,elektrisch,11219,227,304
Jeep,Wrangler,2800,05/2023,diesel,284162,104,139
Volvo,S60,3100,12/2019,benzine,96537,167,224
Ford,Maverick,1900,11/2015,diesel,221864,61,82
Hyundai,Santa Fe,2000,02/2023,lpg,220175,227,304
Subaru,BRZ,4800,11/2019,diesel,54752,356,477
Honda,Fit,1400,03/1994,biodiesel,199015,296,397
Lamborghini,Murcielago,3000,01/2023,diesel,239208,383,514
Tesla,Model X,1900,12/1973,benzine,48601,230,308
Ferrari,Roma,1500,02/2018,benzine,-1,341,457
Rpnault,Kadjar,2400,06/2016,benzine,228719,111,149
Fiat,Panda,3000,03/2006,lpg,1000010,385,516
Ferrari,Roma,2700,05/2022,diesel,5603,206,276
Porsche,718 Boxster,2200,06/1994,lpg,124803,101,135
Subaru,Crosstrek,1900,09/2021,elektrisch,100863,294,394
Mercedes-Benz,GLA,1800,07/1999,benzine,47361,211,283
BMW,Rumplumplum,2900,01/1996,lpg,154292,69,93
Fiat,Punto,2900,01/1999,elektrisch,225339,179,240
Jeep,Gladiator,2700,05/1961,benzine,73755,138,185
Porsche,Panamera,2700,03/2020,diesel,27289,350,469
Volkswagen,Tiguan,2400,08/2011,lpg,183521,105,141
Kia,Stinger,3500,04/2020,diesel,35613,307,412
Fiat,124 Spider,1500,08/2020,diesel,231860,371,498
Peugeot,508,1200,12/2023,diesel,239144,90,121
Porsche,718 Boxster,2700,01/2016,diesel,1112,259,347
Renault,Koleos,3400,05/2018,lpg,156302,255,342
Mercedes-Benz,A-Class,1000,09/1997,benzine,271955,109,146
Porsche,911,1800,11/1997,diesel,33831,335,449
Hyundai,Genesis,2800,10/2024,elektrisch,206843,257,345
Chevrolet,Suburban,3400,08/1991,lpg,136781,244,327
Honda,Ridgeline,3200,11/2014,elektrisch,236258,295,396
Audi,Q5,1500,05/2012,benzine,29099,331,444
Jeep,Renegade,1800,05/2004,elektrisch,163282,64,86
Subaru,Forester,1800,12/2009,benzine,103646,261,350
Lamborghini,Murcielago,3300,08/2002,elektrisch,202168,78,105
Fiat,124 Spider,1800,09/2023,benzine,145034,195,261
Subaru,Impreza,2400,12/1996,lpg,225262,131,176
Nissan,Pathfinder,2500,12/2002,diesel,254890,189,253
Tesla,Model S,2900,07/2017,benzine,77529,100,134
Jeep,Grand Cherokee,2800,12/2015,diesel,-1,396,531
BMW,i3,3200,10/2013,elektrisch,37190,146,196
Ferrari,Roma,3100,12/2024,diesel,219234,161,216
Tesla,Model Y,1900,07/1998,elektrisch,1000010,336,451
Volvo,Rumplumplum,2300,01/2012,diesel,280658,101,135
Toyota,Rumplumplum,1300,07/1992,elektrisch,277048,379,508
Kia,Rio,2500,05/2009,elektrisch,131194,187,251
Audi,e-tron,2000,05/2021,biodiesel,237806,369,495
Jeep,Patriot,1800,09/2009,diesel,136085,383,514
Nissan,Rogue,3400,03/2012,elektrisch,199661,112,150
Lamborghini,Murcielago,1000,06/2014,biodiesel,234424,400,536
Porsche,718 Boxster,1000,02/2003,benzine,124457,297,398
Mazda,CX-30,2700,07/1991,elektrisch,148110,119,160
Volvo,S90,4800,01/1991,benzine,243450,68,91
Porsche,718 Boxster,2100,09/2000,diesel,223822,97,130
Ford,Fusion,2000,12/2011,lpg,33510,204,274
Renault,Megane,1900,10/2014,elektrisch,268792,392,526
Alfa Romeo,Giulietta,3400,05/1995,elektrisch,148711,102,137
Jeep,Patriot,1000,01/1998,diesel,268195,185,248
Kia,Sportage,2600,12/2014,lpg,95179,46,62
Renault,Koleos,2400,09/2002,benzine,176196,227,304
Hyundai,Genesis,3200,08/2006,lpg,71294,243,326
Porsche,718 Boxster,3000,05/1998,benzine,83131,123,165
Chevrolet,Malibu,2400,12/1997,elektrisch,75567,313,420
Chevrolet,Camaro,3500,02/2022,biodiesel,152816,156,209
Porsche,Ppnamera,3300,10/2000,diesel,238257,95,127
MercedecfBenz,GLS,1000,09/2024,elektrisch,15344,182,244
Kia,Soul,2100,11/1999,benzine,286677,299,401
Ford,Explorer,3600,01/2004,elektrisch,140902,299,401
Hyundai,Tucson,3200,06/2004,benzine,170120,94,126
Nissan,Titan,2400,06/2008,diesel,54975,231,310
Honda,Insight,1800,06/2023,elektrisch,138709,314,421
Renault,Twingo,3000,10/1994,diesel,66604,81,109
Fiat,124 Spider,3300,10/2012,elektrisch,100011,281,377
Mitsubishi,Mirage,1900,10/1991,lpg,78352,210,282
Alfa Romeo,4C,3500,09/1993,elektrisch,298593,50,67
Hyundai,Kona,3200,08/2023,elektrisch,291947,317,425
Mercedes-Benz,E-Class,1600,05/1994,lpg,240031,113,152
BMW,Rumplumplum,1700,08/2019,diesel,288642,369,495
Lamborghini,Rumplumplum,1400,08/2005,elektrisch,21073,121,162
Lamborghini,Murcielago,4800,07/1990,diesel,145612,280,375
Fiat,Rumplumplum,1300,01/2022,benzine,78749,66,89
Renault,Kadjar,1900,10/1991,diesel,100593,212,284
Honda,Fit,1800,12/2018,lpg,135381,51,68
Porsche,Macan,2000,05/2000,lpg,59212,357,479
Mazda,CX-5,4800,06/2019,elektrisch,71909,396,531
Mercedes-Benz,GLC,1300,08/2011,benzine,258896,208,279
Chevrolet,Camaro,2900,04/2020,diesel,123385,373,500
Subaru,Forester,2200,04/1991,benzine,26158,281,377
Mercedes-Benz,GLC,3200,07/2011,benzine,162243,137,184
Tesla,Model S,2000,09/2008,lpg,138165,324,434
Ferrari,Roma,1400,03/2010,benzine,235097,256,343
Mercedes-Benz,A-Class,2700,12/2007,diesel,6340,58,78
BMW,7 Series,1500,12/2020,benzine,30505,305,409
Kta,Sorento,2100,09/1993,elektrisch,59741,54,72
Honda,Odyssey,3500,07/2017,diesel,-1,189,253
Toyota,4Runner,3200,10/2004,elektrisch,295258,132,177
Subaru,Ascent,3100,04/2011,benzine,30381,106,142
Lamborghini,Murcielago,1300,09/2023,lpg,19620,72,97
Hyundai,Tucson,3300,04/2006,benzine,91004,394,528
Tesla,Roadster,2100,11/1949,benzine,81534,389,522
Volvo,XC90,2300,03/2003,diesel,208717,227,304
Renault,Kadjar,1200,08/1979,lpg,38066,63,84
Kia,Telluride,2300,10/2014,elektrisch,170959,215,288
Audi,A4,2100,08/2018,benzine,56224,242,325
Honda,Accord,3300,07/1997,benzine,183210,108,145
Audi,A4,1900,04/2020,benzine,259617,172,231
Renault,Megane,1000,04/1999,diesel,164565,77,103
Hyundai,Veloster,2000,06/2007,diesel,2066,57,76
Toyota,Camry,2300,07/2019,benzine,124970,123,165
Mitsubishi,Pajero,3600,10/2017,lpg,289943,292,392
Mazda,MX-5 Miata,1800,10/2014,benzine,-1,301,404
Renault,Clio,3400,10/2000,biodiesel,87812,168,225
Renault,Kadjar,2800,07/2018,lpg,180173,203,272
Subaru,Forester,1400,06/1995,elektrisch,4070,392,526
Honda,Passport,3100,07/2014,diesel,232534,351,471
Volvo,C40,1200,11/2015,lpg,261308,108,145
Renault,Clio,2100,02/1990,biodiesel,211169,251,337
Volkswagen,Arteon,1900,05/2020,lpg,5789,85,114
Volkswagen,Tiguan,3200,06/1997,elektrisch,52406,312,418
Jeep,Compass,3100,06/2001,elektrisch,58256,173,232
Nissan,Rogue,2500,01/1992,elektrisch,270033,207,278
Lamborghini,Gallardo,1500,02/1993,lpg,24228,381,511
Porsche,718 Cceman,3600,09/1992,elektrisch,253827,318,426
Renault,Kadjar,2300,06/2006,elektrisch,138072,202,271
Alfa Romeo,Stelvio,2000,04/2021,diesel,147769,367,492
Jeep,Wrangler,2600,09/1997,elektrisch,93934,56,75
Subaru,WRX,2200,06/1991,benzine,116523,211,283
Mazda,CX-9,2800,10/2010,lpg,1000010,392,526
Alfa Romeo,Stelvio,3300,02/2006,lpg,253003,370,496
Nissan,Pathfinder,1500,10/1995,lpg,207676,107,143
Toyota,Corolla,2000,12/1990,benzine,446,397,532
Tesla,Model X,1600,11/2009,elektrisch,3654,398,534
Fiat,Tipo,1200,08/1965,lpg,134393,313,420
Toyota,Land Cruiser,1600,11/2015,elektrisch,170062,224,300
Kia,Carnival,3200,03/2006,lpg,59995,235,315
Jeep,Grand Cherokee,2800,02/1990,elektrisch,24323,102,137
Hyundai,Kona,2300,06/2022,lpg,166167,244,327
Porsche,718 Cayman,1200,03/1996,diesel,467,243,326
Peugeot,308,1200,08/2018,benzine,13238,116,156
Mercedes-Benz,C-Class,3600,09/2000,diesel,160905,50,67
Ford,Ranger,3500,04/1998,lpg,135897,107,143
Chevrolet,Suburban,1000,01/1997,lpg,197366,51,68
Hyundai,Accent,3500,01/2022,lpg,296545,69,93
Porsche,Macan,2100,04/2024,lpg,12825,97,130
Lamborghini,Aventador,3100,08/2016,lpg,140081,162,217
Kia,Soul,3400,02/1999,benzine,236149,255,342
Fiat,124 Spider,1400,02/2010,lpg,150033,82,110
Toyota,Highlander,3400,05/2018,benzine,27199,344,461
Lamborghini,Huracan,2800,03/2013,diesel,254236,152,204
Lamborghini,Veneno,2500,11/1994,benzine,32687,160,215
Porsche,718 Boxster,1300,12/2004,benzine,7194,180,241
Hyundai,Rumplumplum,2200,07/2000,diesel,91739,291,390
Volkswagen,Beetle,3100,11/1997,diesel,286445,141,189
Chevrolet,Equinox,1200,03/2008,benzine,65382,204,274
Volvo,V90,2100,05/2000,lpg,205893,134,180
Volvo,XC60,2900,10/2002,benzine,175029,146,196
Audi,Q8,1300,02/1999,benzine,221690,315,422
Fiat,Panda,3300,04/2002,diesel,93377,95,127
Honda,Odyssey,1700,11/1992,benzine,84872,206,276
Ferrari,F8 Tributo,2300,12/1995,benzine,226750,329,441
Lamborghini,Veneno,2600,07/2001,benzine,218668,371,498
Volkswagen,Polo,3100,01/1999,elektrisch,268385,111,149
BMW,Z4,1900,02/2007,diesel,14277,330,443
Hyundai,Palisade,2500,09/2016,benzine,236596,169,227
Fiat,Tipo,2700,09/2011,lpg,65519,375,503
Volvo,C40,2800,12/2015,lpg,111650,90,121
Porsche,Macan,2100,06/2005,benzine,123411,101,135
Hyundai,Genesis,1900,02/2024,elektrisch,204606,256,343
Renault,Kadjar,3400,12/2004,lpg,4992,304,408
Tesla,Cybertruck,3400,02/2011,lpg,280386,80,107
Subaru,Impreza,1500,03/2008,diesel,67403,109,146
Tesla,Cybertruck,2300,01/2019,diesel,68351,173,232
Nissan,Sentra,2800,07/2017,elektrisch,46463,355,476
Fiat,Fiorino,1800,08/2021,diesel,52214,281,377
Porsche,911,2500,10/2003,lpg,77697,354,475
Peugeot,5008,3200,08/2008,benzine,101747,92,123
Subaru,BRZ,2600,07/2023,benzine,125686,195,261
Jeep,Patriot,1200,08/1994,elektrisch,212734,243,326
Mitsubishi,Outlander,1900,11/2014,benzine,-1,232,311
Nissan,Sentra,1800,07/1992,benzine,274838,164,220
Subaru,WRX,4800,10/2005,diesel,93638,233,312
BMW,Z4,2700,04/2001,diesel,7922,241,323
Volkswagen,Passat,1300,12/2000,benzine,183834,138,185
Mercedes-Benz,E-Class,1100,03/1990,lpg,85820,380,510
Peugeot,Rifter,3000,05/2010,lpg,49078,255,342
Subaru,Ascent,2500,02/2004,diesel,139452,221,296
Honda,Insight,2400,01/2008,elektrisch,248600,195,261
Nissan,Armada,2900,10/1972,lpg,201656,219,294
Peugeot,5008,1700,09/2009,lpg,19504,194,260
Alfa Romeo,Spider,2100,09/2014,benzine,104211,316,424
Tesla,Roadster,1600,10/2005,benzine,21829,328,440
Mitsubishi,Lancer,1900,05/1998,benzine,1000010,237,318
Mercedes-Benz,GLC,3100,09/2003,elektrisch,256956,239,320
Hyundai,Ioniq,2200,05/2009,lpg,176867,175,235
Volvo,S90,2300,05/2005,elektrisch,1000010,275,369
Subaru,Outback,3300,02/1993,elektrisch,187161,189,253
Tesla,Model X,1900,02/2020,benzine,167339,94,126
Volkswagen,Passat,2200,09/2002,lpg,169126,355,476
Nissan,Leaf,1700,07/2018,diesel,234274,276,370
Subaru,BRZ,2400,11/2023,diesel,135784,52,70
Ford,Bronco,3000,11/1998,elektrisch,209944,216,290
Tesla,Roadster,2100,03/2009,diesel,18085,158,212
Hyundai,Sonata,2500,02/2015,lpg,247996,374,502
Chevrolet,gquinhx,1900,12/1997,elektrisch,81864,247,331
Honda,Passport,3400,09/2003,elektrisch,201203,112,150
Lamborghini,Murcielago,2100,11/2021,benzine,150811,348,467
Porsche,Macan,4800,06/2016,lpg,38131,397,532
BMW,Z4,1000,09/2022,benzine,297367,374,502
Tesla,Model Y,1200,09/2006,lpg,149868,301,404
Jeep,Renegade,1000,01/1995,lpg,145025,286,384
Volkswagen,Atlas,3200,09/2020,benzine,111889,335,449
Subaru,Legacy,3300,07/1995,benzine,43447,186,249
Toyota,Yaris,2900,04/1997,lpg,249755,70,94
Tesla,Model Y,3200,05/1991,elektrisch,170577,75,101
Lamborghini,Urus,2500,05/1993,elektrisch,264629,43,58
Nissan,Versa,2100,01/2018,lpg,45956,220,295
Kia,Sorento,2700,03/1996,diesel,133278,387,519
Mercedes-Benz,GLE,1600,02/2006,elektrisch,122638,204,274
Mitsubishi,ASX,2400,12/2001,benzine,103893,56,75
Mazda,RX-8,1900,08/2014,benzine,223713,273,366
Audi,A8,2600,01/2024,benzine,263853,181,243
Lamborghini,Huracan,1100,02/1995,benzine,144398,110,148
Renault,Megane,1500,07/2013,benzine,221638,271,363
Fiat,500,1200,12/2020,elektrisch,1000010,132,177
Volkswagen,Touareg,4800,10/2022,benzine,162703,268,359
Ferrari,488,3500,08/1995,elektrisch,197507,352,472
Toyota,Tacoma,3400,09/2023,lpg,164846,108,145
Ferrari,812 Superfast,2900,06/1997,elektrisch,10121,190,255
Audi,Q7,2400,04/2014,diesel,126927,61,82
Tesla,Cybertruck,2800,11/1999,benzine,21606,67,90
Mazda,CX-9,1700,06/2007,benzine,22472,373,500
Alfa Romeo,Stelvio,2000,06/1990,benzine,17455,343,460
Hyundai,Elantra,3500,03/2005,diesel,1000010,76,102
Renault,Kadjar,1500,06/2002,benzine,52679,108,145
Jeep,Cherokee,2800,01/1992,lpg,102137,170,228
Nissan,Armada,2700,06/2003,benzine,211546,69,93
Audi,A6,1700,08/2006,lpg,137565,118,158
Volvo,S60,4800,11/1997,benzine,134001,162,217
Lamborghini,Aventador,3100,06/2005,lpg,117203,42,56
Volkswagen,Touareg,1300,07/2004,lpg,1000010,279,374
Subaru,BRZ,2200,11/1990,diesel,144199,134,180
Volkswagen,Jetta,1200,09/1996,diesel,290730,96,129
BMW,X3,1400,04/1993,diesel,99470,199,267
Mazda,Mazda3,1600,07/2005,elektrisch,201420,297,398
ukqka,Model X,1200,10/2024,lpg,261899,53,71
Peugeot,508,2700,01/1999,diesel,134582,249,334
Hyundai,Elantra,2300,07/2020,lpg,43260,296,397
Volkswagen,Tiguan,2100,03/2006,benzine,66279,85,114
Mercedes-Benz,GLA,3300,10/2006,diesel,203826,160,215
Mercedes-Benz,Rumplumplum,2800,12/2003,elektrisch,62653,64,86
Tesla,Model X,1700,09/2022,benzine,176312,215,288
Tesla,Cybertruck,1200,12/2016,elektrisch,1000010,315,422
Audi,Q5,3200,11/2006,diesel,224069,340,456
Ferrari,812 Superfast,2300,07/2004,diesel,232762,349,468
Nissan,Rogue,2800,12/2018,elektrisch,74471,150,201
BMW,5 Series,2900,05/1991,benzine,162751,40,54
Ferrari,SF90 Stradale,3200,09/2016,elektrisch,1000010,174,233
Peugeot,208,2700,10/1999,lpg,205349,61,82
Hyundai,Ioniq,2900,12/2002,benzine,167726,194,260
Kia,Optiqa,3100,01/2017,elektrisch,20696,366,491
Chevrolet,Suburban,1300,10/2004,elektrisch,287371,104,139
